Id,favorite_count,party,retweet_count,text
26,391.0,comuns,58.0,Felicitats al @FCBarcelona_cat i a tota l’afició culer per la 25ena lliga i el vuitè doblet! Avui ho celebrarem amb civisme a la rua #7heChamp10ns pels carrers de #BCN
27,48.0,comuns,21.0,"#Viureiconviure és un programa q promou convivència, solidaritat i aprenentatge entre persones de 2 generacions: estudiants i persones grans. Un projecte preciós q combat 2 problemàtiques q tenim a BCN: soledat i accés a l'habitatge. 
A pel curs vinent!
"
28,2335.0,erc,775.0,"Objectius:
1- Fer Govern i fora 155
2- Alliberar presos/retorn exiliats 
3- Internacionalització
4- Bilateralitat amb l’Estat
Com?
*Mobilització pacífica i permanent 
*Governança eficaç en pro d tothom
Per què?
*Ser més en poc temps 
Mentre, que vagin dient que el procés ha mort"
29,3588.0,jxcat,996.0,"“Tota persona, sigui del camp polític que vulgueu, ha de posar un contingut real darrera d’allò que predica. A més a més, ha de tenir pressa.” Josep Pla"
30,931.0,cs,453.0,📰 “Lo triste es que quienes se rebelan ante el proyecto de ‘pueblo único’ de Torra no tengan el aliento del Gobierno”. Editorial de @elmundoes👇🏻 
31,964.0,comuns,321.0,Avui els partits polítics de l'Ajuntament de Barcelona hem expressat la nostra més ferma condemna per la mort a #Gaza de 58 palestins a mans de l'exèrcit israelià amb un minut de silenci a la plaça St Jaume. 
32,2.0,ppc,6.0,"Artur Mas en el #Parlament afirma, sin ponerse colorao, que hoy tiene los mismos diputados, 62, que en 2010!"
33,10244.0,jxcat,4221.0,"""Jo, i molts, moltíssims, morirem com uns forasters a casa nostra [...] No és raó que hi visquin i hi morin els nostres fills, els nostres néts, i a nosaltres incumbeix la tasca de fer que puguin viure i morir en terra lliure, com a ciutadans de llur nació"" (MdP) #SantJordi2018 "
34,682.0,comuns,554.0,"El PSOE se ha especializado en que el PP siempre le robe la cartera. Y en eso el PP es experto:

➡️Le prometen una reforma constitucional y a la semana Rajoy dice que sólo quiere ""hablar"" 

En el PP no confías, lo echas

#CatMotorDeCanvi #DiaDeLaConstitución "
35,66.0,psc,30.0,.@socialistes_cat ens afegim al dol per la mort del professor Josep Fontana. La seva obra i el seu mestratge el mantindran viu en la nostra memòria. Que la terra li sigui lleu. 
36,83.0,comuns,33.0,"El parc de la Ciutadella acull la 12ena edició del #FestivaldelaCiència, amb +230 activitats, tallers, xerrades i espectacles per totes les edats on experimentar amb la recerca i la innovació. Amb amics o família, no us ho perdeu! 🔬 "
37,611.0,erc,303.0,La ministra Cospedal ha manat hissar la bandera monàrquica a mig pal Divendres Sant. Es conscient que Jesús fou condemnat per  com indica l’INRI clavat a la creu: Jesús de Natzaret condemnat per proclamar-se rei dels jueus?
38,330.0,comuns,165.0,"y conseguir ""mostrar la multitud y cada hombre en detalle, con lo que lo anima y lo que lo desespera” Josep Fontana In memoriam 

"
39,11.0,psc,9.0,"El bloqueo político obliga a un ajuste total de 11.000 millones, Anabel Díez  via @elpais_espana"
40,33.0,comuns,20.0,Acte de @espaidemocracia “La llibertat d’expressió en perill” comença @neustomas parlant de la importància de la independència dels mitjans 
41,4385.0,cs,2589.0,"Ella realmente quiere echarme de Cataluña igual que Torra realmente piensa lo que escribió en sus innumerables artículos. Y estamos hablando de la Ex Presidenta del Parlament y el Presidente de la Generalitat, nada más y nada menos. Así es el nacionalismo. "
42,772.0,comuns,258.0,"Gracias querida @ManuelaCarmena, a ti y a todos los que hoy habéis venido desde Madrid para reivindicar el cariño entre nuestras dos ciudades. Hasta pronto! "
43,79.0,erc,87.0,"Segueixen sota la cuirassa del TC. Nosaltres, com sempre seguim endavant complint el mandat democràtic "
44,7501.0,jxcat,2737.0,"Tot plegat és una vergonya monumental pel que suposa ja no només un atemptat directe contra el dret d’autodeterminació dels catalans, sinó pel mínim respecte als drets humans més básics  #Hackers1OTV3"
45,6774.0,erc,2838.0,"Igredients per omplir les urnes el #21D: 
DIGNITAT, per cada cop de porra #1O
DEMOCRÀCIA, per cada agressió feixista
LLIBERTAT, pels empresonats
REPÚBLICA, per superar el bloqueig polític
IL•LUSIÓ, la del #3O, per derrotar la repressió"
46,497.0,cs,238.0,Datos demoledores: las familias españolas sufren un calvario para poder conciliar. Hemos conseguido aumentar los permisos de paternidad y aprobar ayuda de 1.000€/año para guardería pero necesitamos más reformas que permitan flexibilizar jornadas y racionalizar horarios laborales 
47,1578.0,erc,521.0,"Les paraules de Lluís Salvadó són inapropiades i no es corresponen a l'ideari d'@esquerra_ERC. Treballem per constuir una societat amb igualtat efectiva. ERC aplica el Pla d’Igualtat, ha fet unes llistes electorals cremallera 100%, i ens comprometem a la paritat en el nou govern."
48,675.0,comuns,248.0,"Gran manifestació avui que mostra que som més forts en la nostra pluralitat.

Un gran agraïment a l’@espaidemocracia i a tota la ciutadania que amb la seva tasca construeixen un futur de llibertats. 

#UsVolemaCasa "
49,82.0,erc,33.0,Si mañana ministra @AmbBatet ratifica conclusiones debate con vicepresidenta Calvo q reunión día 9 @sanchezcastejon @QuimTorraiPla se de sin condiciones i se hable también del referèndum (necesario q explique orden día) @Esquerra_ERC puede repensar posición Real Decret @tve_tve
50,9598.0,jxcat,4685.0,"“A la vista de tot això / s’és esvalotat la terra.
Entraren a Barcelona / mil persones forasteres,
entren com a segadors / com eren a temps de sega”
Tal dia com avui de 1640 comença la guerra dels segadors. Mesos després, Pau Claris proclama la 1a República Catalana. "
51,1652.0,cs,975.0,Mañana habrá una votación histórica en el @Congreso_Es sobre la propuesta de Cs para suprimir los aforamientos politicos. La sociedad no soporta más los privilegios defendidos 40 años por #PPSOE. Espero que tengan que rectificar de verdad y salga adelante. 
52,175.0,comuns,62.0,"Perquè vosaltres hi vau ser, altres hi som avui. Molt emocionant compartir avui el reconeixement i celebració del 25é Consell d Dones de Sant Martí, el primer de la ciutat. Barcelona, ciutat pionera, valenta i feminista! "
53,736.0,erc,229.0,"No interessa en el moment actual qui marxà el 27-O i qui no, qui tornà i qui no. Toca discernir què hem fet bé i què no tan bé, buscar la màxima unitat d’acció xq tenim presos i exiliats i ser més forts per fer el darrer tram, q no serà fàcil. I guanyar! I la història ja dirà què"
54,135.0,erc,32.0,A Sant Boi aixequem la senyera davant de l’església parroquial per  retre homenatge al Conseller en Cap. 
55,36.0,erc,106.0,"Margallo s'acomiada amb un altre informe per millorar la vida dels ciutadans... 
#EspanyaNoTéProblemes "
56,137.0,comuns,82.0,"Els Punts d'Assessorament Energètic municipals són una eina imprescindible per combatre la pobresa energètica. Balanç 2018
✅+58% talls evitats
✅Doblem les persones ateses
✅ 9 sancions a principals subministradores d'energia per incomplir la llei 24/2015
"
57,6.0,psc,5.0,"Pasado frente a futuro en los Balcanes, María Antonia Sánchez-Vallejo  via @el_pais"
58,37.0,psc,18.0,"Sergio Vila-Sanjuán: “La cultura catalana se desarrolla en dos lenguas”, Josep Playà Maset @lavanguardia "
59,16.0,erc,27.0,"Les idees, el debat rigorós, imprescindibles per transformar la societat. Felicitats @fjirla pels 20 anys! "
60,7550.0,jxcat,4998.0,"A vegades, els periodistes estrangers demanen per què encara parlem del franquisme. Aquest article en dóna una bona explicació. OPINIÓN | El franquismo sigue teniendo poder, por Carlos Elordi   via @eldiarioes"
61,3.0,ppc,8.0,.@sanchezcastejon explicará en el #CaraACaraA3N por que apoyan ayuntamientos independentistas en Badalona y Castelldefels. #PedroYaNoCuela
62,1954.0,jxcat,931.0,"Escriu @jordibarbeta en aquest article una frase molt certa: ""darrerament al rei d'Espanya tot li surt malament i hauria de reflexionar per què"": El mal dia d’un rei a la Casa Blanca "
63,3979.0,jxcat,1250.0,Sempre hem defensat que la independència de Catalunya ha de ser un projecte compartit. Gràcies a tots els partits republicans  @JuntsXCat @Esquerra_ERC @cupnacional 
64,308.0,comuns,91.0,"Un plaer rebre avui a l’Ajuntament a Anna Muzychuk, campiona mundial d’escacs i defensora dels drets i les llibertats de les dones. Ets la inspiració per a moltes dones i nenes q algun dia lluitaran com tu, i seran campiones. Thank you Anna! "
65,609.0,comuns,162.0,"Benvinguda #MareaPensionista i gràcies per omplir els carrers de Barcelona de dignitat, futur i esperança #17MarzoYoVoy"
66,26.0,ppc,19.0,El PP exige al Ayuntamiento una solución inmediata para el CF Badalona  vía @Elperiodico
67,363.0,comuns,150.0,"A #baròmetreBCN  el 75% dels enquestats estan d’acord en que cal regular preus del lloguer: és un clam! No podem esperar més, igual que hem fet majoria per  fer fora el PP, ara amb govern @sanchezcastejon hem de prohibir pujades abusives lloguer!
 "
68,16617.0,jxcat,9779.0,"La mejor garantía para lograr la #RepúblicaEspañola es apoyar la #RepúblicaCatalana. El 77,9% de los catalanes suspenden la monarquía. No hay datos de los españoles desde 2015. Porque preguntar, cuestionar o votar son ahora actos de terrorismo, rebelión y sedición #14deAbril "
69,970.0,erc,859.0,"Congrés Diputats torna a rebutjar demanda @Esquerra_ERC d reconeixement x part de Turquia  del “Genocidi Armeni” (1 milió i mig d morts 1914-1923). Rússia, Alemanya, Suïssa, Argentina, Holanda, Itàlia i molts altres l’han reconegut i s’hi han implicat. Espanya, s’hi torna a negar"
70,104.0,comuns,67.0,"Avui hem représ la Comissió Mixta amb el @govern: entenem q ha estat un any difícil però necessitem q Generalitat assumeixi les seves obligacions en temes tan bàsics com habitatge, bressol, residències gent gran o llei de barris. BCN no pot esperar més: "
71,182.0,comuns,134.0,"La prioridad ahora es recuperar los instrumentos de autogobierno de la ciudadanía en Catalunya.

📲 Mi entrevista en @elconfidencial  "
72,38.0,psc,23.0,Als carrers de Barcelona amb les i els socialistes reclamant que els pressupostos de l'Estat incloguin els 200 milions d'euros del #PactedEstat contra la #violènciamasclista #FetsNoParaules #FeminismeSocialista 👇🏼 
73,45.0,psc,20.0,"Un día histórico en los derechos de las mujeres argentinas y de todo el mundo por un aborto legal, seguro y gratuito. Gran lucha del #movimientofeminista por hacerlo posible  👏🏼💪🏼🙍🏽‍♀️🙍🏼‍♀️#AbortoLegalYa @donesPSC @pscbarcelona @socialistes_cat"
74,404.0,comuns,183.0,"El aniversario del asesinato de los abogados laboralistas de Atocha simboliza a quien debemos nuestras libertades conquistadas, siempre en peligro y maltrechas cuando se deja de batallar por ellas. Honor y gloria "
75,38.0,psc,22.0,"Quan creus que ja s'acaba, torna a començar' (Raimon), Manuel Cruz en @elconfidencial "
76,76.0,comuns,81.0,Les entitats del tercer sector coincideixen amb @CatEnComu_Podem: la propera legislatura hem d'enfrontar de forma prioritària la lluita contra la desigualtat  
77,252.0,comuns,125.0,"Cal obrir un ampli camí a favor dels drets i llibertats, el cami de @nuriaparlon i Obiols, on hauria d'estar també tot el PSC "
78,1566.0,cs,794.0,"Los partidos independentistas no quieren “recuperar” las instituciones catalanas; quieren sustituirlas por otras donde la mayoría social catalana no esté representada y que estén fuera de la ley y el control democrático. Lamentable
"
79,255.0,ppc,170.0,"Segunda vez en una semana que un miembro del gobierno de @sanchezcastejon lanza un “aviso” a los magistrados del Tribunal Supremo. No me cabe la menor duda que, si puede, Sánchez nos venderá a todos.  No todo vale para seguir en La Moncloa. "
80,151.0,ppc,105.0,"Como los partidos independentistas ya no tienen al @PPopular en el gobierno para pelearse, ahora toca suspender Plenos del Parlament por las peleas entre ellos mismos, con la sumisión del PSC de @sanchezcastejon   vía @Elperiodico"
81,4969.0,jxcat,1587.0,"He parlat amb @jordiborras aquesta tarda per conèixer de primera mà el seu estat i la situació del seu cas. Cap agressió no és acceptable. Però quan l’agressor és membre d’un cos policíac, cal actuar amb la màxima contundència i rigor democràtic. "
82,0.0,ppc,1.0,"PS ha pedido un mes para someterse a la investidura. A este paso, las nuevas elecciones no seran antes de junio (o no)!"
83,6613.0,jxcat,2432.0,"Gràcies per les seves explicacions. Lamento tant que davant de la possible tragèdia que podria haver passat avui vostè respongui amb un tuit així, que ni soc capaç de contestar-lo. "
84,42.0,psc,21.0,"Una tregua para compartir el dolor, editorial de El Periódico de Catalunya, 17.08.2018   vía @Elperiodico"
85,2391.0,erc,2175.0,"M'agrada que als carrers del meu país la gent expressi el que pensa. 
Però noteu les 7 diferències unionistes... "
86,1803.0,cs,1233.0,Sánchez fulminó al jefe de la UCO después de que pidiera más recursos para luchar contra la corrupción. Ahora se niega a decirle al Parlamento por qué lo hizo. La @guardiacivil y el conjunto de ciudadanos españoles merecen una explicación. 
87,106.0,psc,88.0,"La Mesa del Congreso no puede suplantar la voluntad del Pleno, Gregorio Camara Villar  via @elpais_espana"
88,544.0,cs,327.0,"Se cumple un año del golpe separatista a la democracia. Este jueves estaremos en #Barcelona recordando hasta dónde fueron capaces de llegar quienes quieren liquidar España y reivindicando nuestra Constitución, la libertad y la igualdad. "
89,2335.0,jxcat,661.0,"A Juneda estrenem el Parc de l’U d’Octubre, un dia que vam votar pels qui han lluitat i per a les generacions futures. Encarem una tardor en què defensarem els drets civils, polítics i socials. Ho farem amb tota la determinació, sempre estenent la mà al diàleg i a la negociació. "
90,463.0,comuns,421.0,"️PP Cs vetan la propuesta d #LeyViviendaPAH, recortan 70% la inversión en vivienda, ignoran la emergencia habitacional, se niegan a regular los alquileres y subvencionan fondos buitre. Pero #SeguimosEnPie defendiendo las ciudades frente a la especulación!
"
91,4835.0,cs,2455.0,"Nada nuevo. Torra ignora a más de media Cataluña y anuncia calentar la calle, poner las instituciones al servicio del independentismo, reforzar la propaganda exterior y desobediencia. Todo desde un Teatro porque han cerrado el Parlament. Sr. Sánchez reaccione y protéjanos"
92,31.0,psc,20.0,El @pscbarcelona apoya la lucha de las @KellysUnio y se sumará a la manifestación de mañana en Pl. Sant Jaume. Las y los @socialistes_cat llevamos vuestras reivindicaciones laborales al Parlament:  #Kellysenlalucha 👇🏼
93,228.0,comuns,77.0,"La precarietat i la pobresa afecten més les dones, per això a BCN tenim un pla de xoc per eliminar desigualtats. 

Ja hem aconseguit q gairebé 4.400 dones millorin la seva situació laboral i hem executat el 85% del programa previst 2016-2024, i seguim! "
94,303.0,cs,156.0,"Entrevista a @FranCarrilloCs :
«Los andaluces tienen derecho a conocer otras políticas tras 40 años» "
95,13.0,psc,8.0,Avui s’ha presentat el cartell de la Mercè 2018 i la pregonera Leticia Dolera. Barcelona viurà la festa impregnada d’orgull feminista i amb Lisboa com a ciutat convidada 💪🏼🎊  👇🏼
96,289.0,ppc,143.0,Ahora también dirán que Alemania es un régimen fascista y  antidemocrático.  vía @okdiario
97,228.0,erc,84.0,"Davant la reunió bilateral i respecte a un possible referèndum q satisfaci totes les parts i sobre l’argument de qui diu no xq divideix, no+ compareu la situació d'Escòcia amb la d Catalunya; tant quant al seu interior com en la relació amb el Regne Unit i Espanya respectivament."
98,164.0,erc,263.0,L'Estat s'entossudeix a demostrar-nos cada dia que l'única manera de garantir les pensions és la #RepúblicaCatalana 
99,129.0,comuns,92.0,Aquest diumenge a les 12:30 perquè els drets i les llibertats es conquisten i es defensen sempre des dels carrers plens @espaidemocracia 
100,10874.0,jxcat,7576.0,Gràcies per definir què és un pres polític i confirmar oficialment que a Espanya n'hi ha quatre. També per mostrar la nul·la separació de poders a l'Estat espanyol i l'ús de l'aparell jurídic per empresonar rivals polítics. Això ens ajudarà en les demandes internacionals. 
101,3778.0,cs,1860.0,Nuestra total condena a las actitudes totalitarias de los grupos de independentistas CDRs que hoy han boicoteado el acto en homenaje a Cervantes organizado por @SocietatCC en la UB. La Universidad es un espacio de libertad y respeto en el que no cabe la intolerancia. ¡Basta ya! 
102,55.0,comuns,36.0,"És el moment de començar a concretar què vol dir això del diàleg en aquesta nova etapa que hem obert a Catalunya i a tot l'Estat. 

Aquí en @joanmena planteja els camins per on ha transcòrrer: un diàleg institucional, polític i ciutadà 👇

🗞️"
103,65.0,ppc,75.0,"Hoy @JuntsXCat, @Esquerra_ERC y la @cup_parlament han retirado del Pleno del @parlamentcat la propuesta de validar un Decreto-Ley del gobierno de España para que los funcionarios de la Generalitat puedan recuperar la paga suprimida en 2012. "
104,671.0,comuns,268.0,És un orgull q BCN sigui la 1a ciutat estatal on tota nova promoció d’habitatge haurà d destinar 30% a habitatge assequible. Gràcies a entitats ciutadanes q ho han impulsat i als partits q han votat a favor.Per això vam entrar a les institucions #tenimEl30  
105,1073.0,erc,310.0,"La immersió lingüística és filla del conjunt del catalanisme, de tot el catalanisme (de l’autonomisme a l’independentisme). I ara resulta que els pares i mares de la immersió que volen dinamitar no poden dialogar?"
106,4.0,ppc,2.0,"Sin paliativos: asco me da la corrupción, en especial la que afecta a gente de mi partido! Solo espero que paguen por sus fechorias!"
107,92.0,psc,59.0,Hoy hace un año recibimos el golpe más duro. Pero aquellos que querían sembrar el odio nos encontraron firmes con un clamor de paz y solidaridad. No tenemos miedo. Barcelona es ciudad de paz. #17A #BCNCiudaddePaz
108,55.0,erc,42.0,"Demà serem a l'#AssembleaDonesERC, perquè sense les dones no farem la #RepúblicaCatalana! "
109,34.0,psc,13.0,"Felicitats a Montse Garcia, nova subdelegada del govern a Barcelona. Juntament amb @tcunillera, un gran equip per una nova etapa a Espanya, Catalunya i Barcelona 
"
110,5784.0,jxcat,1520.0,"Seguint el discurs del president @QuimTorraiPla: ""Partim de la legitimitat de l'#1oct"" "
111,853.0,comuns,512.0,"Horrible asesinato de la concejala @mariellefranco, mujer negra, feminista y defensora de DDHH en Río de Janeiro. Hay q exigir q se aclare su asesinato y se juzgue a los responsables! Toda mi solidaridad con sus personas queridas "
112,12327.0,jxcat,3445.0,"Estimat @toni_comin avui l’exili és més injust que ahir. Una abraçada per a tu i per a tota la teva família. 

“i si l'atzar et porta lluny, 
que els deus et guardin el camí, 
que t'acompanyin els ocells, 
que t'acaronin els estels”

@catalan_gov @ACDretsCivils"
113,128.0,erc,147.0,Avui hem fet un pas històric com a país en la recuperació de la memòria i la dignitat de les víctimes del franquisme 
114,3695.0,jxcat,906.0,"Vull mostrar el meu suport, escalf i solidaritat a la família i amics de la Laia. És un moment de dolor profund davant d'un crim terrible. Descansa en pau, Laia. "
115,1414.0,erc,379.0,"Potser no interessa a tot l’independentisme, però sí al de base republicana i  d’esquerres, el treball conjunt i la superació de recels i prejudicis recíprocs amb els companys/es @EnComu_Podem"
116,54.0,comuns,57.0,"Demà us espero a tots i totes a #Gavà en el primer de diversos actes per presentar el nostre projecte @ambtumespodem.

Per un @podem_cat obert i feminista amb el qual construir una majoria del canvi a Catalunya, que sigui motor de canvi a Espanya.

#AmbTuMésPodem "
117,6543.0,jxcat,4474.0,"L'Stasi va espiar i assassinar, els Mossos protegeixen vides tot i el vostre veto a Europol. Voleu imposar un fals relat per sostenir un sistema que s'enfonsa. Sense els vostres secrets d'Estat sabríem qui crea i finança organismes il·legals per espiar i perseguir rivals polítics "
118,6.0,ppc,5.0,Con @FEDER_ONG enfermedades raras en el #Parlament hemos compartido sus preocupaciones y necesidades. @PPCatalunya 
119,12.0,ppc,43.0,"Rabell, diputado del Podemos en el #Parlament habla de ""los pueblos ibéricos"" para no mentar España!!! @PPCatalunya"
120,2442.0,jxcat,740.0,Aquest vespre hem recordat i agraït en nom del poble de Catalunya la tasca de @jcuixart i @jordialapreso. Avui haurien d’haver estat amb nosaltres per defensar les institucions. El 20-S va començar la revolta del poble català en la lluita per la llibertat! 
121,911.0,erc,344.0,Es insultant q facin córrer q els presos i preses i les persones exiliades cerquen un acord amb la Fiscalia x rebaixar penes a canvi de reconèixer la culpabilitat.
122,104.0,psc,59.0,31 anys de la terrible massacre d’ETA a #Hipercor. En el nostre record i ben presents totes les víctimes i les seves famílies en un dia tan dolorós com avui. No deixarem que la por ens venci #NoUsOblidem
123,93.0,ppc,41.0,Orgulloso del nuevo equipo joven y muy preparado que hoy sale del congreso @NNGGcat. Tenéis el gran objetivo de defender nuestros valores y principios entre los más jóvenes. Ya sois el presente y el futuro del @PPCatala 👏👏 #IlusionXCrecerJuntos 
124,506.0,cs,196.0,En el #DíaMundialdelMedioAmbiente recordamos la necesidad de avanzar en la reducción del impacto medioambiental del plástico y en la educación de los efectos de su uso en nuestro entorno. No solo será un grave problema en el futuro; es ya un grave problema en el presente 🌍 
125,378.0,ppc,105.0,🎥 Llegar al Casal de Sant Frederic y que te reciban así es indescriptible. ¡Gracias por tanto cariño! 🙌🏻 #Badalona 
126,375.0,erc,422.0,"Ep! @socialistes_cat aviseu al @PSOE que els grups parlamentaris poden presentar propos de llei sense informe del govern...
No fos cas que us equivoquéssiu amb això...

El Gobierno destituirá a Puigdemont y a todo su gabinete  via @el_pais"
127,86.0,erc,88.0,"Com diu en @JoanTarda, és un deure moral complir el mandat democràtic del #27S. Ho farem! "
128,526.0,cs,412.0,Imputados 6 ex consejeros autonómicos del PP en Madrid por el caso Lezo. Sigue supurando la corrupción del bipartidismo. 
129,8732.0,cs,5044.0,"El separatismo siempre intentando reescribir la historia. No es “paz” porque no hubo ninguna guerra sino asesinos matando inocentes. No son “todas las víctimas” porque no hubo dos bandos, solo verdugos y víctimas. No es “conflicto”, es terrorismo. No es “venganza”, es justicia "
130,1924.0,cs,993.0,Por miles de casos como este cuando gobernemos instauraremos una tarjeta sanitaria única y un expediente clínico único para toda España. Este modelo fragmentado que nos deja 40 años de bipartidismo-nacionalismo es absurdo y dinamita la igualdad de derechos entre españoles. 
131,133.0,comuns,72.0,"Avui presentem una proposta al Congrés per regular el preus dels lloguers per llei amb dos objectius:

⛔️Posar fi als lloguers abusius.
⛔️Convertir el lloguer en una opció segura i assequible.

#LeyAlquileresJustos

I com ho volem fer? Així 👇🏻👇🏻👇🏻 "
132,8388.0,jxcat,3691.0,"Tens tota la raó. Evitar que creixi la serp és feina diària, a les aules, a casa i a l'espai públic. Tots aquests esforços es posen en perill quan algú amb altaveu banalitza aquesta monstruositat, a més per finalitats tan mesquines. "
133,4001.0,jxcat,1790.0,El @parlamentcat és el dipositari d'un encàrrec molt clar que ens ha fet la ciutadania. Tots els actors hem d'estar a l'altura d'aquest encàrrec. Hem de mantenir la posició enfront d'un estat que ultrapassa tots els límits de l'estat de dret 👉  
134,7.0,psc,5.0,"'Convergència ha vuelto', artículo de @AstridBarrio #AssambleaPDeCAT  vía @Elperiodico"
135,10.0,psc,7.0,"Molt recomanable el Quadern de @elpaiscat: ""Així era i no era Maria Aurèlia Campany"". Regidora socialista de Cultura i compromesa amb Barcelona, va ser pionera en la lluita feminista i una gran defensora de les llibertats individuals i col·lectives   👇🏼"
136,11.0,psc,4.0,"A @lavirreinaci, a punt de començar el #BarcelonaAdebat a @OndaCero_cat, l’estat de la ciutat a un any de les eleccions. Volem parlar de les prioritats de Barcelona, de les barcelonines i els barcelonins #AgendaBarcelona @pscbarcelona @socialistes_cat "
137,109.0,comuns,46.0,"Un honor presidir al Saló de Cent la presentació de “Era foraster i em vau acollir”, monogràfic sobre els refugiats de @QVidaCristiana. Hem parlat d’humanisme i ètica contra prejudicis i barbàrie amb el cardenal Omella, @f_torralba i @Jaumeasens "
138,52.0,psc,33.0,"Margarita Robles: ""Los presos del 'procés' deben estar lo más cerca posible de sus familias y su entorno""
@elmundoes
"
